Gene,,
PIPOX,51268,14
CADPS2,93664,28
CCDC114,93233,14
CCDC115,84317,16
CCDC112,153733,10
MCF2L,23263,42
CCDC110,256309,9
CCDC111,201973,30
LEO1,123169,51
ATP1A4,480,27
ATP1A3,478,94
ATP1A2,477,129
ATP1A1,476,211
MGRN1,23295,41
CRTAP,10491,33
SPHK2,56848,75
SPHK1,8877,242
DPT,1805,34
IPO11,51194,41
CUEDC2,79004,27
CBLB,868,155
CPEB4,80315,47
CPEB1,64506,50
CPEB3,22849,24
SBSPON,157869,10
RBMXL1,494115,16
RBMXL3,139804,8
RBMXL2,27288,21
ABAT,184,
CDH20,28316,10
FAM170A,340069,5
ZNF780B,163131,4
FRG1,2483,43
TP53TG5,27296,8
RHEBL1,121268,14
SIRPA,140885,117
IFT80,57560,17
IFT81,28981,25
TAF1D,79101,16
IFT88,8100,44
IL10RA,3587,138
POU5F1B,5462,31
SCGB1C1,147199,12
NFATC2IP,84901,17
SP2,6668,35
DEPDC7,91614,13
CNTF,1270,97
MCM10,55388,64
DEPDC4,120863,5
LOC100653231,,
SP4,6671,50
IGFBPL1,347252,5
ATG4C,84938,18
ATG4B,23192,58
ATG4A,115201,28
THUMPD2,80745,10
PHOX2A,401,35
PHOX2B,8929,128
FAM193A,8603,11
LRGUK,136332,7
UPK2,7379,27
CFH,3075,756
CFI,3426,114
PNP,4860,82
ANKFY1,51479,38
CFB,629,181
MLLT4,4301,108
CDKAL1,54901,185
PNN,5411,91
PTCHD3,374308,4
RNF128,79589,22
CFP,5199,68
AAAS,8086,64
HAMP,57817,398
SIDT1,54847,10
MLLT1,4298,62
CSK,1445,235
SIX4,51804,18
SIX5,147912,27
SIX6,4990,37
LOC100653341,,
PM20D1,148811,11
TGIF2LY,90655,10
SIX3,6496,48
CNPY4,245812,10
NAALAD2,10003,12
CNPY2,10330,26
PLCZ1,89869,48
COPG2,26958,53
KNDC1,85442,13
HMG20A,10363,40
HMG20B,10362,38
PHOSPHO2,493911,10
AAGAB,79719,35
FBXO6,26270,35
C4orf19,55286,11
ZCCHC13,389874,7
SLC7A6OS,84138,15
SYNJ2,8871,37
C3orf70,285382,4
CEP70,80321,34
SHOX2,6474,42
ZFP82,284406,10
CHFR,55743,95
EFHA1,221154,28
EFHA2,286097,7
SYPL1,6856,23
RCOR3,55758,41
SYPL2,284612,12
RFX4,5992,24
RFX5,5993,48
APP,351,2495
RFX7,64864,14
NRXN3,9369,61
RFX1,5989,64
NRXN1,9378,128
RFX3,5991,31
YDJC,150223,11
IBA57,200205,22
NLRP13,126204,8
APC,324,801
TMEM179B,374395,6
ABCE1,6059,77
UQCRC2,7385,62
XPNPEP1,7511,37
XPNPEP2,7512,27
UQCRC1,7384,63
GGCX,2677,99
PAPLN,89932,9
RETSAT,54884,15
ZNF57,126295,6
KHDRBS1,10657,223
KHDRBS3,10656,52
GGCT,79017,39
FAM173A,65990,5
ZNF395,55893,22
REG1A,5967,92
ZCCHC10,54819,13
LHCGR,3973,222
ARPP21,10777,17
C10orf54,64115,24
TMEM127,55654,24
FLT3,2322,647
UQCRHL,440567,2
DPYSL4,10570,18
TARS2,80222,28
DPYSL2,1808,107
DPYSL3,1809,45
PODN,127435,13
C10orf55,414236,11
IGFBP2,3485,225
IGFBP3,3486,657
IGFBP1,3484,276
HBE1,3046,97
IGFBP7,3490,131
IGFBP4,3487,93
IGFBP5,3488,161
SKP2,6502,437
CYP2R1,120227,74
CKLF,51192,26
INS-IGF2,723961,22
C15orf26,161502,6
GJA1,2697,560
GJA3,2700,58
APLNR,187,93
GJA5,2702,89
RUNX3,864,335
GJA8,2703,68
CYP8B1,1582,17
